quotation	type	source	translation	notes
A bove majori discit arare minor.	proverb		The young ox learns to plough from the older	See Ne sus, &c.
A capite ad calcem.			From top to toe	
Aera nitent usu; vestis bona quaerit haberi; Canescunt turpi tecta relicta situ.		ovidius	Brass grows bright by use; good clothes require to be worn; uninhabited buildings grow white with nasty mould.	
Aerugo animi, rubigo ingenii.		seneca	The rust of the mind is the blight of genius.	Said of idleness.
Amicum ita habeas posse ut fieri hunc inimicum scias.		laber(?)	Live with your friend as if you knew that he might become your enemy.	This maxim, though inculcating caution, a considerable virtue, is better adapted to the political world than to the sphere of private friendship. See Ama tanquam, &c.
Amicum Mancipium domino et frugi.		horatius	A servant faithful to his master, and true.	
Accidit in puncto, et toto contingit in anno.			It happens in an instant, and occurs throughout the whole year.	Said in reference to those occurrences which are ruled by the uniform laws of nature.
A fonte puro pura defluit aqua.	proverb		From a clear spring clear water flows	A man is generally estimated by the company he keeps, as his habits are probably similar to those of his companions.
Accidit in puncto, quod non contingit in anno.			That may happen in a moment, which does not occur in a whole year.	
A fortiori.			From stronger reasoning	With much greater probability. If a pound of gunpowder can blow up a house, a fortiori a hundredweight must be able to do it.
A fronte praecipitium, a tergo lupus.			A precipice before, a wolf behind	Said of a person between the horns of a dilemma.
A latere.			From the side	A legate a latere is a pope's envoy, so called because sent from his side, from among his counsellors.
A mensa et toro.			From table and bed	"or, as we say, ""from bed and board."" A sentence of separation of man and wife, issuing from the ecclesiastical courts, on account of acts of adultery which have been substantiated against either party. It is not of so decisive a nature as the divorce A vinculo matrimonii; which see."
A posteriori.			From the latter	
A priori.			From the former	Phrases used in logical argument, to denote a reference to its different modes. The schoolmen distinguished them into the propter quod, wherein an effect is proved from the next cause, as, when it is proved that the moon is eclipsed, because the earth is then between the sun and the moon. The second is, the quia, wherein the cause is proved from a remote effect; as, that plants do not breathe, because they are not animals; or, that there is a God, from the works of the creation. The former argument is called demonstration a priori; the latter, demonstration a posteriori.
A re decedunt.			They wander from the point	
Aerumnabilis experientia me docuit.			Sorrowful experience has taught me.	
A teneris unguiculis.		cicero	From your tender little nails (From your very earliest boyhood)	From your very earliest boyhood. See Sed praesta, &c., and Amores de, &c.
Accipe nunc, victus tenuis quid quantaque secum afferat. In primis valeas bene.		horatius	Now learn what and how great benefits a temperate diet will bring along with it. In the first place, you will enjoy good health.	
Aes debitorem leve, gravius inimicum facit.		laber	A trifling debt makes a man your debtor; a more weighty one, your enemy.	
